<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.3603515625, 0.7099609375, -248.78048780487808, 0.6097560975609757, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.35693359375, 0.7119140625, -249.75609756097563, 0.6097560975609757, 0.6097560975609757]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56494140625, -0.359375, 0.7080078125, -245.85365853658539, 0.6097560975609757, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5625, -0.35302734375, 0.70263671875, -249.75609756097563, 0.426829268292683, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.36279296875, 0.70654296875, -246.82926829268294, 0.30487804878048785, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.35205078125, 0.7060546875, -248.78048780487808, 0.48780487804878053, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5625, -0.353515625, 0.71044921875, -246.82926829268294, 0.48780487804878053, 0.5487804878048781]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5634765625, -0.359375, 0.705078125, -247.80487804878052, 0.3658536585365854, 0.48780487804878053]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56201171875, -0.357421875, 0.712890625, -247.80487804878052, 0.6097560975609757, 0.426829268292683]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5615234375, -0.3515625, 0.70849609375, -247.80487804878052, 0.3658536585365854, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.56396484375, -0.357421875, 0.7138671875, -248.78048780487808, 0.48780487804878053, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.5625, -0.3564453125, 0.712890625, -250.7317073170732, 0.426829268292683, 0.30487804878048785]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55419921875, -0.3623046875, 0.69970703125, -248.78048780487808, 0.5487804878048781, 0.3658536585365854]"
<bluetooth.msbt.BluetoothSocket object at 0x00000158BFA2BA60>,"[0.55859375, -0.35546875, 0.712890625, -248.78048780487808, 0.48780487804878053, 0.426829268292683]"
